function_name,timestamp,duration_seconds,pid,arguments,return_value
"hipLaunchKernel","12:29:48.027701","0.001137","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.029993","0.001150","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.031233","0.001128","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.032425","0.001197","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.035205","0.001198","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.036484","0.001248","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.037948","0.001316","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.040436","0.001144","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.041670","0.001136","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.042871","0.001139","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.045182","0.001132","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.046415","0.001161","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.047646","0.001153","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.049962","0.001116","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.051173","0.001154","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.052392","0.001151","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.054777","0.001195","2368223","0x13600000136, 1, 0x2000000020, 1","0"
"__hipPopCallConfiguration","12:29:48.056063","0.001122","2368223","0x7f8fa21e0a90, 0x7f8fa21e0ad8, 0x7f8fa21e0ad0, 0x7f8fa21e0ac8","0"
"hipLaunchKernel","12:29:48.057253","0.001106","2368223","0x7fcfbb7d9280, 0x13600000136, 1, 0x2000000020","0"
"__hipPushCallConfiguration","12:29:48.059538","0.001128","2368223","0x13600000136, 1, 0x2000000020, 1","0"
