function_id,function_name,pid,tid,start_timestamp_ns,end_timestamp_ns,duration_ns,arg_count,arg0_name,arg0_value,arg1_name,arg1_value,arg2_name,arg2_value,arg3_name,arg3_value,arg4_name,arg4_value,arg5_name,arg5_value,arg6_name,arg6_value,arg7_name,arg7_value,return_value
779,hipMallocAsync,3773181,3773188,883225320779272,883225320864328,85056,3,arg,0x7f9b44001180,arg,0x2000000,arg,0x7f9b4400b0f0,,,,,,,,,,,0x0
904,hipMallocAsync,3773181,3773188,883225320904778,883225320991366,86588,3,arg,0x7f9b440011b0,arg,0x2000000,arg,0x7f9b4400b0f0,,,,,,,,,,,0x0
37,hipMemcpyAsync,3773181,3773188,883225321037034,883225321130232,93198,5,dst,0x7f94c8200700,src,0x7f7f27400000,count,0x2000000,kind,0x1,stream,0x7f9b4400b0f0,,,,,,,0x0
175,hipMemcpyAsync,3773181,3773188,883225321175609,883225321217281,41672,5,dst,0x7f94ca200800,src,0x7f7f09e00000,count,0x2000000,kind,0x1,stream,0x7f9b4400b0f0,,,,,,,0x0
951,hipMalloc,3773181,3773194,883225299951052,883225321581782,21630730,2,devPtr,0x7f9b529e1a70,size,0x17764000,,,,,,,,,,,,,0x0
634,hipMemsetAsync,3773181,3773194,883225321634630,883225321728900,94270,4,devPtr,0x7f7f0c000000,value,0x0,count,0x17764000,stream,0x7f9afc0010b0,,,,,,,,,0x0
759,hipMemsetAsync,3773181,3773194,883225321759686,883225321789290,29604,4,devPtr,0x7f7ee6800000,value,0x0,count,0x17764000,stream,0x7f9afc0010b0,,,,,,,,,0x0
332,hipMallocAsync,3773181,3773189,883225317331919,883225322394467,5062548,3,arg,0x7f9b48001178,arg,0x2000000,arg,0x7f9b4830e3d0,,,,,,,,,,,0x0
452,hipMallocAsync,3773181,3773189,883225322452734,883225323384786,932052,3,arg,0x7f9b480011a8,arg,0x2000000,arg,0x7f9b4830e3d0,,,,,,,,,,,0x0
257,hipStreamCreateWithFlags,3773181,3773188,883225321257661,883225341016235,19758574,2,arg,0x7f9b440011e8,arg,0x1,,,,,,,,,,,,,0x0
886,hipMemcpyAsync,3773181,3773190,883225237886786,883225383689833,145803047,5,dst,0x7f7f3de00100,src,0x7f8b4ec00000,count,0x2000000,kind,0x1,stream,0x7f9b3c001200,,,,,,,0x0
791,hipMemcpyAsync,3773181,3773190,883225383791634,883225383849930,58296,5,dst,0x7f7f3fe00200,src,0x7f8547800000,count,0x2000000,kind,0x1,stream,0x7f9b3c001200,,,,,,,0x0
883,hipMalloc,3773181,3773193,883225336883215,883225387708062,50824847,2,devPtr,0x7f9b531e29d8,size,0x17764000,,,,,,,,,,,,,0x0
773,hipMalloc,3773181,3773193,883225387773429,883225403504549,15731120,2,devPtr,0x7f9b531e29d0,size,0x17764000,,,,,,,,,,,,,0x0
571,hipMemsetAsync,3773181,3773193,883225403571118,883225403653530,82412,4,devPtr,0x7f7ecde00000,value,0x0,count,0x17764000,stream,0x7f9b04002700,,,,,,,,,0x0
703,hipMemsetAsync,3773181,3773193,883225403703234,883225403747249,44015,4,devPtr,0x7f7eaa800000,value,0x0,count,0x17764000,stream,0x7f9b04002700,,,,,,,,,0x0
81,hipHostMalloc,3773181,3773188,883225341081882,883225533327988,192246106,3,arg,0x7f9b440010c8,arg,0x2000000,arg,0x0,,,,,,,,,,,0x0
876,hipMemcpyAsync,3773181,3773189,883225326876494,883225581416457,254539963,5,dst,0x7f8ddd000400,src,0x7f7f29a00000,count,0x2000000,kind,0x1,stream,0x7f9b4830e3d0,,,,,,,0x0
822,hipMemcpyAsync,3773181,3773194,883225321821988,883225586923965,265101977,5,dst,0x7f7f0c000000,src,0x7f8d7726f010,count,0x17764000,kind,0x1,stream,0x7f9afc0010b0,,,,,,,0x0
979,hipStreamSynchronize,3773181,3773194,883225599978987,883225600098073,119086,1,stream,0x7f9afc0010b0,,,,,,,,,,,,,,,0x0
982,hipMemcpyAsync,3773181,3773189,883225599982702,883225600098504,115802,5,dst,0x7f8ddf000500,src,0x7f7f23a00000,count,0x2000000,kind,0x1,stream,0x7f9b4830e3d0,,,,,,,0x0
792,hipMemcpyAsync,3773181,3773193,883225403792236,883225635074245,231282009,5,dst,0x7f7ecde00000,src,0x7f945c46f010,count,0x17764000,kind,0x1,stream,0x7f9b04002700,,,,,,,0x0
158,hipStreamSynchronize,3773181,3773193,883225635158090,883225635206321,48231,1,stream,0x7f9b04002700,,,,,,,,,,,,,,,0x0
895,hipStreamCreateWithFlags,3773181,3773191,883225300895733,883225677283435,376387702,2,arg,0x7f9b400011d8,arg,0x1,,,,,,,,,,,,,0x0
420,hipHostMalloc,3773181,3773188,883225533420886,883225717197641,183776755,3,arg,0x7f9b440010f8,arg,0x2000000,arg,0x0,,,,,,,,,,,0x0
141,hipStreamCreateWithFlags,3773181,3773189,883225600141758,883225741750845,141609087,2,arg,0x7f9b480011e0,arg,0x1,,,,,,,,,,,,,0x0
178,hipLaunchKernel,3773181,3773194,883225600178242,883225741870393,141692151,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
952,hipGetLastError,3773181,3773194,883225741952194,883225742026825,74631,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
82,hipLaunchKernel,3773181,3773194,883225742082417,883225742190357,107940,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
231,hipGetLastError,3773181,3773194,883225742231238,883225742273380,42142,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
312,hipLaunchKernel,3773181,3773194,883225742312689,883225742402922,90233,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
439,hipGetLastError,3773181,3773194,883225742439667,883225742475510,35843,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
513,hipLaunchKernel,3773181,3773194,883225742513446,883225742603179,89733,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
463,hipGetLastError,3773181,3773194,883225769462924,883225769544586,81662,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
587,hipLaunchKernel,3773181,3773194,883225769587249,883225769688839,101590,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
730,hipGetLastError,3773181,3773194,883225769730611,883225769746485,15874,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
758,hipLaunchKernel,3773181,3773194,883225769758773,883225769824370,65597,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
865,hipGetLastError,3773181,3773194,883225769865081,883225769902446,37365,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
942,hipLaunchKernel,3773181,3773194,883225769942215,883225770036565,94350,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
76,hipGetLastError,3773181,3773194,883225770076304,883225770112868,36564,1,none,0x7fdb6a13fe40,,,,,,,,,,,,,,,0x0
151,hipLaunchKernel,3773181,3773194,883225770151656,883225770242170,90514,6,func,0x7fdb6b608280,gridDim,0x13600000136,blockDim,0x1,args,0x2000000020,sharedMemBytes,0x1,unknown,0x0,,,,,0x0
